points,bot,race
0,MCTS1,human
0,MCTS1,human
1,MCTS1,human
4,MCTS2,human
1,MCTS2,human
3,MCTS2,human
0,MCTS1,human
0,MCTS1,human
1,MCTS1,human
0,random,human
0,random,human
0,random,human
0,MCTS1,human
0,MCTS1,human
1,MCTS1,human
6,procedural,human
7,procedural,human
4,procedural,human
3,MCTS2,human
3,MCTS2,human
2,MCTS2,human
0,random,human
0,random,human
0,random,human
0,MCTS2,human
0,MCTS2,human
1,MCTS2,human
7,procedural,human
7,procedural,human
5,procedural,human
0,random,human
0,random,human
0,random,human
6,procedural,human
7,procedural,human
6,procedural,human
1,MCTS1,chaos
0,MCTS1,chaos
1,MCTS1,chaos
2,MCTS2,amazon
2,MCTS2,amazon
2,MCTS2,amazon
1,MCTS1,chaos
0,MCTS1,chaos
1,MCTS1,chaos
0,random,undead
0,random,undead
0,random,undead
0,MCTS1,chaos
1,MCTS1,chaos
0,MCTS1,chaos
4,procedural,orc
3,procedural,orc
6,procedural,orc
2,MCTS2,amazon
2,MCTS2,amazon
2,MCTS2,amazon
0,random,undead
0,random,undead
0,random,undead
2,MCTS2,amazon
0,MCTS2,amazon
1,MCTS2,amazon
2,procedural,orc
3,procedural,orc
4,procedural,orc
0,random,undead
0,random,undead
0,random,undead
3,procedural,orc
5,procedural,orc
4,procedural,orc
